Unnamed: 0,CurrY,1Y,2Y
2001-03-01,,,
2001-06-01,-0.3999999999999999,-0.19999999999999973,
2001-09-01,-0.8999999999999999,-0.6000000000000001,
2001-12-01,-0.10000000000000009,-0.8,
2002-03-01,-0.5,1.3,
2002-06-01,0.19999999999999996,0.10000000000000009,
2002-09-01,-0.3999999999999999,-0.5,
2002-12-01,0.0,-0.5,
2003-03-01,0.19999999999999996,0.3999999999999999,
2003-06-01,-0.30000000000000004,-0.3999999999999999,
2003-09-01,-0.29999999999999993,-0.10000000000000009,
2003-12-01,0.0,0.10000000000000009,
2004-03-01,1.1,0.7999999999999998,
2004-06-01,0.19999999999999996,-0.19999999999999973,
2004-09-01,0.20000000000000018,0.09999999999999964,
2004-12-01,-0.10000000000000009,-0.3999999999999999,
2005-03-01,-0.19999999999999996,0.20000000000000018,
2005-06-01,-0.20000000000000018,-0.10000000000000009,
2005-09-01,-0.09999999999999987,-0.20000000000000018,
2005-12-01,0.09999999999999987,0.10000000000000009,
2006-03-01,0.7000000000000002,0.10000000000000009,
2006-06-01,0.0,-0.20000000000000018,
2006-09-01,0.3999999999999999,0.30000000000000027,
2006-12-01,0.20000000000000018,0.10000000000000009,
2007-03-01,-0.20000000000000018,0.19999999999999973,
2007-06-01,0.09999999999999964,-0.10000000000000009,
2007-09-01,-0.09999999999999964,0.0,
2007-12-01,0.09999999999999964,-0.2999999999999998,
2008-03-01,-0.8999999999999995,-0.20000000000000018,
2008-06-01,0.09999999999999987,-0.2999999999999998,
2008-09-01,-0.40000000000000013,-0.2999999999999998,
2008-12-01,-0.8999999999999999,-1.7000000000000002,
2009-03-01,-3.2,0.5,
2009-06-01,-1.8999999999999995,-0.30000000000000004,
2009-09-01,0.5,0.5,
2009-12-01,0.09999999999999964,0.6,
2010-03-01,4.8,0.7000000000000001,
2010-06-01,0.19999999999999996,-0.30000000000000004,
2010-09-01,0.6000000000000001,0.19999999999999996,
2010-12-01,0.10000000000000009,0.0,
2011-03-01,0.0,0.3999999999999999,
2011-06-01,0.19999999999999973,-0.10000000000000009,
2011-09-01,-0.2999999999999998,-0.39999999999999947,
2011-12-01,0.0,-1.0000000000000004,
2012-03-01,-1.7000000000000002,0.8000000000000002,
2012-06-01,0.0,-0.10000000000000009,
2012-09-01,-0.30000000000000004,-0.5000000000000001,
2012-12-01,-0.09999999999999998,-0.7999999999999999,
2013-03-01,0.0,1.3,
2013-06-01,-0.09999999999999998,0.10000000000000009,
2013-09-01,0.19999999999999996,-0.10000000000000009,
2013-12-01,0.0,0.10000000000000009,
2014-03-01,1.6,0.3999999999999999,
2014-06-01,-0.19999999999999996,0.19999999999999996,0.0
2014-09-01,-0.09999999999999998,-0.09999999999999987,0.09999999999999987
2014-12-01,-0.09999999999999998,-0.6000000000000001,-0.3999999999999999
2015-03-01,0.7,0.8999999999999999,0.6000000000000001
2015-06-01,0.0,0.0,-0.10000000000000009
2015-09-01,-0.10000000000000009,-0.19999999999999996,-0.19999999999999996
2015-12-01,0.10000000000000009,0.0,0.09999999999999987
2016-03-01,-0.10000000000000009,0.0,-0.09999999999999987
2016-06-01,0.20000000000000018,0.0,-0.10000000000000009
2016-09-01,0.09999999999999987,-0.09999999999999987,-0.09999999999999987
2016-12-01,0.0,0.09999999999999987,0.0
2017-03-01,0.10000000000000009,0.0,0.0
2017-06-01,0.09999999999999987,0.10000000000000009,0.09999999999999987
2017-09-01,0.30000000000000027,0.0,0.0
2017-12-01,0.19999999999999973,0.4999999999999998,0.19999999999999996
2018-03-01,0.0,-0.3999999999999999,-0.19999999999999996
2018-06-01,-0.2999999999999998,0.0,0.0
2018-09-01,-0.10000000000000009,-0.09999999999999987,0.0
2018-12-01,-0.10000000000000009,-0.10000000000000009,0.0
2019-03-01,-0.7999999999999998,-0.09999999999999987,-0.19999999999999996
2019-06-01,0.09999999999999987,-0.20000000000000018,-0.10000000000000009
2019-09-01,-0.09999999999999987,-0.19999999999999996,0.0
2019-12-01,0.09999999999999987,-0.09999999999999987,0.0
